id,icao_code,iata_code,name,type,city_id,country_id,continent_id,latitude_deg,longitude_deg,elevation_ft
4657,BZ-MDB,MDB,Melinda Airport,small_airport,50028,18,4,17.004299,-88.304199,101
4658,WAMM,MDC,Sam Ratulangi Airport,medium_airport,25283,77,1,1.54926,124.926003,264
4659,KMDD,MDD,Midland Airpark,small_airport,26889,188,4,32.03649902,-102.1009979,2803
4660,SKRG,MDE,Jose Maria Córdova International Airport,medium_airport,48811,37,5,6.16454,-75.4231,6955
4661,KMDZ,MDF,Taylor County Airport,small_airport,26418,188,4,45.10100174,-90.30329895,1478
4662,ZYMD,MDG,Mudanjiang Hailang International Airport,medium_airport,28062,36,1,44.52410126,129.5690002,883
4663,KMDH,MDH,Southern Illinois Airport,medium_airport,50030,188,4,37.778099,-89.251999,411
4664,DNMK,MDI,Makurdi Airport,medium_airport,25097,129,2,7.70388,8.61394,371
4665,KS33,MDJ,Madras Municipal Airport,small_airport,50031,188,4,44.67020035,-121.1549988,2437
4666,FZEA,MDK,Mbandaka Airport,medium_airport,26333,39,2,0.022600001,18.2887001,1040
4667,VYMD,MDL,Mandalay International Airport,large_airport,25364,121,1,21.70219994,95.97789764,300
4668,AYDK,MDM,Munduku Airport,small_airport,50032,137,6,-4.6204,143.4516,100
4669,KIMS,MDN,Madison Municipal Airport,small_airport,24740,188,4,38.75889969,-85.46549988,819
4670,PAMD,MDO,Middleton Island Airport,small_airport,50033,188,4,59.44990158,-146.3070068,100
4671,WAKD,MDP,Mindiptana Airport,small_airport,50034,77,1,-5.876929,140.70946,121
4672,SAZM,MDQ,Ástor Piazzola International Airport,medium_airport,25662,7,5,-37.9342,-57.5733,72
4673,KE-6121,MDR,Musiara Airstrip,small_airport,50035,88,2,-1.298636,35.063885,5117
4674,MBMC,MDS,Middle Caicos Airport,small_airport,50036,222,4,21.82602,-71.8025,9
4675,KMDT,MDT,Harrisburg International Airport,medium_airport,16514,188,4,40.193501,-76.763397,310
4676,AYMN,MDU,Mendi Airport,medium_airport,26594,137,6,-6.14774,143.656998,5680
4677,MDV,MDV,Médouneu Airport,small_airport,50037,53,2,1.0085,10.7552,2100
4678,KMDW,MDW,Chicago Midway International Airport,large_airport,9191,188,4,41.785999,-87.752403,620
4679,SATM,MDX,Mercedes Airport,small_airport,26651,7,5,-29.221399,-58.087799,358
4680,PMDY,MDY,Henderson Field,medium_airport,50038,188,6,28.2017,-177.380997,13
4681,SAME,MDZ,El Plumerillo Airport,medium_airport,26600,7,5,-32.83169937,-68.79290009,2310
4682,SBME,MEA,Macaé Benedito Lacerda Airport,medium_airport,50039,24,5,-22.343,-41.765999,8
4683,YMEN,MEB,Melbourne Essendon Airport,medium_airport,50040,9,6,-37.7281,144.901993,282
4684,SEMT,MEC,Eloy Alfaro International Airport,medium_airport,25592,50,5,-0.946078002,-80.67880249,48
4685,OEMA,MED,Prince Mohammad Bin Abdulaziz Airport,large_airport,26429,153,1,24.5534,39.705101,2151
4686,NWWR,MEE,Maré Airport,medium_airport,50041,208,6,-21.4817009,168.0379944,141
4687,MEF,MEF,Melfi Airport,small_airport,26530,34,2,11.060192,17.944495,1293
4688,FNMA,MEG,Malanje Airport,medium_airport,25133,5,2,-9.525090218,16.31240082,3868
4689,ENMH,MEH,Mehamn Airport,medium_airport,50042,131,3,71.02970123,27.82670021,39
4690,KMEI,MEI,Key Field / Meridian Regional Airport,medium_airport,26675,188,4,32.3326,-88.7519,297
4691,KGKJ,MEJ,Port Meadville Airport,small_airport,26380,188,4,41.626499,-80.214699,1399
4692,GMFM,MEK,Bassatine Airport,medium_airport,26510,119,2,33.879101,-5.51512,1890
4693,YMML,MEL,Melbourne International Airport,large_airport,26519,9,6,-37.673302,144.843002,434
4694,KMEM,MEM,Memphis International Airport,large_airport,26579,188,4,35.0424,-89.9767,341
4695,LFNB,MEN,Mende-Brenoux Airfield,medium_airport,50043,60,3,44.502102,3.53282,3362
4696,KMQI,MEO,Dare County Regional Airport,small_airport,50044,188,4,35.91899872,-75.69550323,13
4697,WMAU,MEP,Mersing Airport,small_airport,50045,106,1,2.389148,103.874183,10
4698,WITC,MEQ,Cut Nyak Dhien Airport,medium_airport,50046,77,1,4.040631,96.253538,10
4699,KMER,MER,Castle Airport,medium_airport,26650,188,4,37.38050079,-120.5680008,191
4700,WIMK,MES,Soewondo Air Force Base,medium_airport,26405,77,1,3.558425,98.672275,114
4701,YMOT,MET,Moreton Airport,small_airport,27793,9,6,-12.44419956,142.6380005,
4702,SBMD,MEU,Monte Dourado - Serra do Areão Airport,medium_airport,1241,24,5,-0.889839,-52.6022,677
4703,KMEV,MEV,Minden-Tahoe Airport,small_airport,27062,188,4,39.00030136,-119.7509995,4722
4704,FZVM,MEW,Mweka Airport,small_airport,28360,39,2,-4.855027,21.541786,1968
4705,MMMX,MEX,Aeropuerto Internacional Lic. Benito Juárez,large_airport,50047,113,4,19.435433,-99.082432,7316
4706,VNMG,MEY,Meghauli Airport,small_airport,50048,124,1,27.5774,84.22875,600
4707,FAMH,MEZ,Musina(Messina) Airport,small_airport,28295,163,2,-22.355672,29.9862,1904
4708,HTMA,MFA,Mafia Airport,small_airport,21023,174,2,-7.917478,39.668502,60
4709,SK-481,MFB,Monfort Airport,small_airport,50049,37,5,0.633333,-69.75,630
4710,FXMF,MFC,Mafeteng Airport,small_airport,24781,98,2,-29.8011,27.243601,5350
4711,KMFD,MFD,Mansfield Lahm Regional Airport,medium_airport,25582,188,4,40.82139969,-82.51660156,1297
4712,KMFE,MFE,McAllen Miller International Airport,medium_airport,26351,188,4,26.176141,-98.237965,107
4713,FOOD,MFF,Moanda Airport,small_airport,27297,61,2,-1.526558,13.251332,1877
4714,OPMF,MFG,Muzaffarabad Airport,medium_airport,28347,133,1,34.3390007,73.50859833,2691
4715,K67L,MFH,Mesquite International Airport,medium_airport,26725,188,4,36.833105,-114.055928,1978
4716,KMFI,MFI,Marshfield Municipal Airport,small_airport,25950,188,4,44.63690186,-90.18930054,1277
4717,NFMO,MFJ,Moala Airport,small_airport,50050,58,6,-18.56669998,179.951004,13
4718,RCMT,MFK,Matsu Beigan Airport,medium_airport,50051,172,1,26.224199,120.002998,41
4719,YWDV,MFL,Mount Full Stop Airport,small_airport,50052,9,6,-19.67,144.8852,1918
4720,VMMC,MFM,Macau International Airport,large_airport,50053,229,1,22.149599,113.592003,20
4722,AYNG,MFO,Manguna Airport,small_airport,50054,137,6,-5.577778,151.792333,187
4724,DRRM,MFQ,Maradi Airport,medium_airport,25678,128,2,13.5025,7.12675,1240
4725,KMFR,MFR,Rogue Valley International Medford Airport,medium_airport,26418,188,4,42.37419891,-122.8730011,1335
4726,SKMF,MFS,Miraflores Airport,small_airport,50055,37,5,1.35,-71.9444,730
4727,FLMF,MFU,Mfuwe Airport,medium_airport,50056,196,2,-13.25889969,31.93659973,1853
4728,KMFV,MFV,Accomack County Airport,small_airport,50057,188,4,37.64690018,-75.76110077,47
4729,LFKX,MFX,Méribel Altiport,small_airport,50058,60,3,45.407505,6.577597,5636
4730,AYES,MFZ,Meselia Airport,small_airport,50059,137,6,-6.1364,149.1183,180
4731,MNMG,MGA,Augusto C. Sandino (Managua) International Airport,medium_airport,25287,127,4,12.14150047,-86.16819763,194
4732,YMTG,MGB,Mount Gambier Airport,medium_airport,27956,9,6,-37.744382,140.780561,
4733,KMGC,MGC,Michigan City Municipal Airport,small_airport,26848,188,4,41.70330048,-86.82119751,655
4734,SLMG,MGD,Magdalena Airport,small_airport,24800,21,5,-13.26074838,-64.06076431,462
4735,KMGE,MGE,Dobbins Air Reserve Base,medium_airport,25797,188,4,33.915401,-84.516296,1068
4736,SBMG,MGF,Regional de Maringá - Sílvio Name Júnior Airport,medium_airport,50060,24,5,-23.47606,-52.016187,1801
4737,FAMG,MGH,Margate Airport,medium_airport,25753,163,2,-30.85740089,30.34300041,495
4738,MGI,MGI,National Wildlife Refuge Airport,small_airport,50061,188,4,28.323,-96.464,7
4739,KMGJ,MGJ,Orange County Airport,small_airport,27663,188,4,41.50999832,-74.26460266,364
4740,VYMT,MGK,Mong Tong Airport,small_airport,50062,121,1,20.29669952,98.89890289,1840
4741,EDLN,MGL,Mönchengladbach Airport,medium_airport,50063,64,3,51.230278,6.504444,125
4742,KMGM,MGM,Montgomery Regional (Dannelly Field) Airport,medium_airport,27663,188,4,32.300598,-86.393997,221
4743,SKMG,MGN,Baracoa Airport,medium_airport,50064,37,5,9.28474,-74.8461,178
4744,MGP,MGP,Manga Airport,small_airport,50065,137,6,-4.147,153.0186,60
4745,HCMM,MGQ,Aden Adde International Airport,medium_airport,27341,162,2,2.01444006,45.30469894,29
4746,KMGR,MGR,Moultrie Municipal Airport,small_airport,27943,188,4,31.0848999,-83.80329895,294
4747,NCMG,MGS,Mangaia Island Airport,small_airport,50066,201,6,-21.89598656,-157.906662,45
4748,YMGB,MGT,Milingimbi Airport,small_airport,50067,9,6,-12.09440041,134.8939972,53
4749,VYMN,MGU,Manaung Airport,small_airport,50068,121,1,18.8458,93.688904,102
4751,KMGW,MGW,Morgantown Municipal Airport Walter L. (Bill) Hart Field,medium_airport,27798,188,4,39.643305,-79.917598,1248
4752,FOGI,MGX,Moabi Airport,small_airport,50069,61,2,-2.455187,10.9358,787
4753,KMGY,MGY,Dayton-Wright Brothers Airport,small_airport,11101,188,4,39.5890007,-84.22489929,957
4754,VYME,MGZ,Myeik Airport,medium_airport,50070,121,1,12.43980026,98.62149811,75
4755,SYMD,MHA,Mahdia Airport,small_airport,24909,71,5,5.27749,-59.1511,300
4756,NZMB,MHB,Mechanics Bay Heliport,heliport,50071,126,6,-36.84652563,174.7878724,5
4757,SCPQ,MHC,Mocopulli Airport,small_airport,50072,35,5,-42.340388,-73.715693,528
4758,OIMM,MHD,Mashhad International Airport,large_airport,26047,78,1,36.23519897,59.64099884,3263
4759,KMHE,MHE,Mitchell Municipal Airport,small_airport,27228,188,4,43.77479935,-98.03859711,1304
4760,SK-482,MHF,Morichal Airport,small_airport,50073,37,5,1.75,-69.916667,552
4761,EDFM,MHG,Mannheim-City Airport,medium_airport,25548,64,3,49.473057,8.514167,308
4762,MYAM,MHH,Leonard M Thompson International Airport,medium_airport,50074,12,4,26.510711,-77.084262,6
4763,HDMO,MHI,Moucha Airport,small_airport,50075,47,2,11.72975,43.209559,
4764,KMHK,MHK,Manhattan Regional Airport,medium_airport,25473,188,4,39.14099884,-96.67079926,1057
4765,KMHL,MHL,Marshall Memorial Municipal Airport,small_airport,25945,188,4,39.09579849,-93.20290375,779
